"","company","time","title","job_title","job_location","recommends_rating","outlook_rating","ceo_rating","experience","pros","cons","advice_to_management"
"576","Express Scripts","2018-04-05","""Great Culture""","Current Employee - Market Advisor","Saint Louis, MO","Recommends","Neutral Outlook","Approves of CEO","I have been working at Express Scripts full-time (More than a year)","Great place to work and build relationships. A great professional and personal network.","Would like to see improvements continue with technology, integration, and reporting tools.","Keep up the great work with transparency and autonomy."
"577","Express Scripts","2018-04-03","""Good Place To Work""","Current Employee - Anonymous Employee","","Recommends","Neutral Outlook","Approves of CEO","I have been working at Express Scripts full-time","Very high performing culture. Good leadership. Decent development support.","Sometimes too high performing of a culture.",""
"578","Express Scripts","2018-03-29","""Staff Pharmacist""","Former Employee - Anonymous Employee","","Doesn't Recommend","Negative Outlook","Disapproves of CEO","I worked at Express Scripts full-time","Flexible hours and no weekends","Poorly organized program. ""Honor"" code for productivity of all employees. Poor management and leadership in program.",""
"579","Express Scripts","2018-03-27","""Project manager""","Current Employee - Project Manager","Saint Louis, MO","Recommends","Positive Outlook","Approves of CEO","I have been working at Express Scripts full-time (Less than a year)","Great pay, good people, innovation is valued, exciting work","Work load can be unmanageable at times, little parental leave","Assess workload frequently to minimize burn out"
"580","Express Scripts","2018-03-24","""Avoid like the plague""","Former Employee - IT Analyst","Saint Louis, MO","Doesn't Recommend","Negative Outlook","No opinion of CEO","I worked at Express Scripts full-time","Money is good, benefits are meh... Generous PTO","Life\Work balanceInstability, high turnoverUnmanageable workloadVery few are happy there, there's an ambiance of misery.Toxic environment and culture, constant turmoil in managementImmature business environment, few long term employees","Reinvent your culture."
"581","Emerson","2018-04-16","""Some Management are Okay""","Current Employee - Anonymous Employee","Saint Louis, MO","Recommends","Positive Outlook","Approves of CEO","I have been working at Emerson full-time (More than 5 years)","Good health benefits for you and your direct family (spouse/kids), good working environment (depending on the department you are in). One of the reasons that made me stay for more than 5 years already.","Salary not as competitive to high paying jobs but you are certain that what they give is a stable or ""just right"" amount to make sure that you can sustain your job in the company.Current HR team is not good in implementing (ComRes) the true essence of being an HR to their group.Some management tends to listen to only one side of the company without fully validating the scenario. This has an impact on the employees' morale.","Learn to really listen to your employees and communicate the impact of their change of treatment or in house guidelines to the group."
"582","Emerson","2018-04-16","""Country Manager""","Former Employee - Country Manager","Seoul (South Korea)","Recommends","Positive Outlook","Approves of CEO","I worked at Emerson full-time (More than 5 years)","Factory Automation, Smart Factory, Metrix organization","Country and product group report line",""
"583","Emerson","2018-04-16","""Recruitment Specialist""","Former Employee - Anonymous Employee","","Recommends","Positive Outlook","Approves of CEO","I worked at Emerson full-time (More than 3 years)","Emerson is one of the best companies to work for. They take care of their employees holistically and provide work-life balance.","Nothing I can think of now",""
"584","Emerson","2018-04-12","""Great Career Growth if willing to work""","Current Employee - Anonymous Employee","","Recommends","Positive Outlook","Approves of CEO","I have been working at Emerson full-time","Career Growth Options Available if willing to work hardSuccessful, Stable company - Few layoffsBenefits and salary competitive","Standard large corporation drawbacksProcesses can be cumbersome",""
"585","Emerson","2018-04-10","""Decent""","Current Employee - Anonymous Employee","","Doesn't Recommend","Positive Outlook","Approves of CEO","I have been working at Emerson full-time","Flexible environment, bonus, aws, can move from one deptt to another","slow growth, benefits, work environment",""
"586","Emerson","2018-04-07","""Like an average local Singapore company""","Current Employee - Business Development","Singapore (Singapore)","Doesn't Recommend","Positive Outlook","No opinion of CEO","I have been working at Emerson full-time (More than a year)","Not much great about it","Low ball when you join, low increments every year. Dull work environment. Doesnt invest on employees. Hiring now but will lay off heavily as soon as the market gets bad just like 2 years ago. People who are being hired right now are unlikely to be retained for more than 2-3 years.","No advice"
"587","Emerson","2018-04-06","""I Still Bleed Emerson Blue""","Former Employee - General","Minneapolis, MN","Recommends","Positive Outlook","Approves of CEO","I worked at Emerson full-time (More than 5 years)","I was a boomerang employee - and left a second time due to commute and family demands. I miss Emerson every day (it's been 2 years). Whenever I get the chance to refer someone there I am delighted.Open Door Policy, Leadership Development, Fair with Employees, Clear Expectations, Ethical, Opportunities to Grow Career, Good Communication Plan, Coaching Culture, Consistent and Competitive Benefits","Maybe more open to remote working agreements","Keep up the great work in Chanhassen :)"
"588","Emerson","2018-04-05","""Good""","Former Employee - Anonymous Employee","","NA","NA","NA","I worked at Emerson full-time (More than 5 years)","Good work good environment good","No no no nno non",""
"589","Emerson","2018-04-05","""Too Many Stakeholders""","Current Employee - Engineering Supervisor","Singapore (Singapore)","Recommends","Neutral Outlook","No opinion of CEO","I have been working at Emerson full-time (More than 5 years)","Flexibility of working hours, reasonable salary and package","Too many decision maker at the top and they are not aligned, expecting people at the mid management to fight the battle for them","Revamp the structure, too many dotted lines of reporting creates an inverted pyramid system. One day it will topple"
"590","Emerson","2018-04-04","""Company overview""","Former Employee - Anonymous Employee","","NA","NA","NA","I worked at Emerson full-time","Provides good stability, good benefits.","Hard to advance within the company.",""
"591","Ceridian","","""Provides a rewarding environment for top talent, creating a culture of making work life better!""","Current Employee - Finance Manager","Saint Petersburg, FL","Recommends","Positive Outlook","Approves of CEO","I have been working at Ceridian full-time (More than 10 years)","Cutting edge products, inspired leaders, employee-centric, leaders that walk the walk. It's the multigenerational and highly diverse people that translate our leader's vision into a unique product that is transforming every single client. This is now an essential global company that will touch everyone!","Transformation can be a challenge if you're not a change-agent, you must be agile and embrace a trust-culture. If you're looking to take a passive role this place is not for you.","Keep the focus on why we're here. Do the hard work still needed to remove layers, flatten and right-size. Continue to be an inspiration for employees to make an impact every day."
"592","Ceridian","2018-04-13","""Enterprise Sales""","Current Employee - Enterprise Sales Manager","Indianapolis, IN","Recommends","Positive Outlook","Approves of CEO","I have been working at Ceridian full-time (Less than a year)","People. Everyone I've met has been welcoming, supportive, engaged, and thoughtful.Technology. I spent 10 previous years with a competitor and can say with certainty that Ceridian is way ahead of the competition and has plenty of room to run.Tools. Ceridian really invests in their people. We all receive cutting edge technology to support the job we are doing and everyone uses it to be more productive.Access. There are a lot of ivory towers out there - Ceridian has a culture where the top executives are truly available and transparent - its not just talk.","I really haven't been disappointed with anything here yet.","Stay the course. We are building something really remarkable here."
"593","Ceridian","2018-04-13","""Tax Resolution Specialist II""","Current Employee - Anonymous Employee","Saint Petersburg, FL","Recommends","Positive Outlook","Approves of CEO","I have been working at Ceridian full-time (Less than a year)","Great Company to work for","too soon to see any permanent cons","Consistency is key !"
"594","Ceridian","2018-04-13","""Consumer Support Specialist II""","Current Employee - Consumer Support Specialist II","Saint Petersburg, FL","Recommends","Positive Outlook","Approves of CEO","I have been working at Ceridian full-time (Less than a year)","Good training and good people to work with.","Would like to see more promotions from within.",""
"595","Ceridian","2018-04-12","""EVP""","Current Employee - Anonymous Employee","","Recommends","Positive Outlook","Approves of CEO","I have been working at Ceridian full-time (More than 10 years)","Culture, leadership team, Career advancement, Communications and employee relations, High level of engagement","Not one issue at Ceridian. Great company.","Keep it up!"
"596","Ceridian","2018-04-04","""Ceridian is the HCM Falcon Heavy ready to take off""","Current Employee - Anonymous Employee","","Recommends","Positive Outlook","Approves of CEO","","Innovation at scale with deep bench strength. Dayforce is taking the market by storm. The winning culture here is contagious.","Managing our own success requires good planning and even better execution. Staying true to our core values will be key in the future.","Stay golden and don’t ever lose your customer focus."
"597","Ceridian","2018-04-04","""Not Bad""","Former Employee - Programmer","Minneapolis, MN","Doesn't Recommend","Neutral Outlook","No opinion of CEO","I worked at Ceridian full-time (More than a year)","Good Benefits, Pay, and Work Life Balance","Loads of Bureaucracy, too much time to make decisions","Listen to the workers"
"598","Ceridian","2018-04-02","""Great place to work""","Current Employee - Anonymous Employee","","Recommends","Positive Outlook","Approves of CEO","I have been working at Ceridian full-time","Ceridian truly cares about it's employees. Engagement is impressive and they live by their values - Makes Work Life Better!","No cons to think of. Keep up the great work!",""
"599","Ceridian","2018-03-30","""Sales""","Current Employee - Anonymous Employee","","Recommends","Positive Outlook","Approves of CEO","I have been working at Ceridian full-time (More than 10 years)","Exceptional culture and focused on customer success. Filled with great leaders and dedicated employees. Leadership listens to the voice of the customer and the voice of the employees.","Would love to see more national media advertising of Ceridian and Dayforce",""
"600","Ceridian","2018-03-29","""Best company to work for""","Current Employee - IT Manager","Quatre Bornes (Mauritius)","Recommends","Positive Outlook","Approves of CEO","I have been working at Ceridian full-time (More than 10 years)","Caring companyI feel respected and my opinion really countsFlexibility","a lot of negativity which we need to get rid of.","Keep up the great job."
"601","Open Access Technology International","2018-04-13","""Management""","Former Employee - Anonymous Employee","","NA","NA","NA","I worked at Open Access Technology International full-time (More than 8 years)","Work culture but depends on project","Management lacks in resources to manage properly",""
"602","Open Access Technology International","2018-03-24","""Great friends, steady business, growth mindset""","Current Employee - Anonymous Employee","","Positive Outlook","NA","NA","I have been working at Open Access Technology International full-time (Less than a year)","I have worked at OATI for over 17 years - leaving soon to start my own business, but have enjoyed my time at this company. The company has a solid base of existing customers, and is constantly reinvesting to grow into new and emerging markets. Good opportunities for people who demonstrate hard work and the ability to move projects forward. Base of long-term, established employees and yet there are always newer staff who rise to positions of influence and responsibility - this is a place where you can grow and make a role for yourself. I will miss all my friends here!","As with a lot of companies that have been around for awhile, there is some outdated software libraries which legacy applications and customers depend on. Most of the newer projects use newer frameworks and technology.",""
"603","Open Access Technology International","2018-03-21","""Work free and die hard""","Current Employee - Anonymous Employee","Minneapolis, MN","Doesn't Recommend","Negative Outlook","Disapproves of CEO","I have been working at Open Access Technology International full-time (More than 3 years)","Newly graduate can get a job.No experiences no problem.Any lawyer can become project manager here.Lots of parking spaces.Lots of empty desks/work stations.Lots of know-nothing project manager.CEO promised whole year free lunch for everyone if 100% goals reached. 99%? You on your own.Upper management leave you alone. They will never know you exist and work for them.I make enough to pay my apartment and other basic needs, leave alone student loan and saving.Lots much winnings.","1. Compensation is next to nothing. Petty!2. Some employees worked for free when they were not eligible to work. OATI promised to pay them back and have not so far. Shady business model!3. Developers will spend time digging through lagacy codes written in proprietary languages. Most they will get is Sql and Js, no modern framework, no career training means no career growth. Stuck in spiral!4. Overloaded works. As experiences gained or title changed, it means more work with tiny compensation changed. You will be expected to work overtime with no plan to compensate your loads. Cheap!5. While starting salary is already way deep bottom, there is something worse. Developers can start as low as $45K. If you are not white, you should expect $5K less. Compensation discrimination bases on pigmentation of skin or background heritage!6. OATI won't expect employees to stay long, maximum 2 years. They can get any new graduate for super low pay for an illution of hiring Americans. They have been outsourcing jobs to India and will not expect much from inexperienced newbies. Faked!7. Nothing is free here. Used to have coffee station, now gone. $200+/year for using gym. Only hot water left on the first floor, stating for guests.8. Strictly 8 hours. Will send a mass email to harass employee if he misses only 1 second.9. Micro management.10. Non-compete agreement details will keep you up at night.11. Tired of winnings.","Read above comments"
"604","Open Access Technology International","2018-03-17","""Excellent in US Energy Domain""","Current Employee - Integration Engineer","SAS Nagar (India)","Recommends","Positive Outlook","Approves of CEO","I have been working at Open Access Technology International full-time (More than a year)","Leading company in energy Domain. Excellent work environment","Every two years mass firing took place but if your monthly review in team is fine then you don't have to worry about it.",""
"605","Open Access Technology International","2018-03-14","""Too much overtime without compesation""","Former Employee - Anonymous Employee","","NA","NA","NA","I worked at Open Access Technology International full-time","15 PTO is a good start. Some managers and employees are nice and approachable.","Restricted working hours but never count for overtime","Improve compensation rate"
"606","Open Access Technology International","2018-03-14","""Enjoyable work but stifling environment""","Current Employee - Technician","Minneapolis, MN","Doesn't Recommend","Positive Outlook","No opinion of CEO","I have been working at Open Access Technology International full-time (More than a year)","There are some really cool things with smart grid and micro grid technology happening here. Very few other companies are bringing these pieces together like OATI.","Absolutely no flexibility. At all. I can understand a general expectation of being available but there’s none of that here.Management loves telling people what to do, but rarely understands the pieces enough to give meaningful direction.","Learn more. Be less arrogant - there’s more for you to learn than you think. OATI has been a powerhouse in SaaS for utilities for a while now so there’s a certain expectation that everyone wants their stuff just based on that. Listen more and develop what people actually want."
"607","Open Access Technology International","2018-03-13","""scope in oati""","Current Employee - Anonymous Employee","","Doesn't Recommend","Approves of CEO","NA","I have been working at Open Access Technology International full-time","good salary, friendly environment and good for offs.","no future scope as tech. used here is not required in other companies.",""
"608","Open Access Technology International","2018-03-03","""Not worth the time""","Current Employee - Software Engineer","Minneapolis, MN","Doesn't Recommend","Negative Outlook","Disapproves of CEO","I have been working at Open Access Technology International (Less than a year)","BenefitsMoney to pay rentGood co-workers","*Constant nagging*Programming language that has terrible logic*Having to sift through SQL (with no comments to discern what is going on) to figure out where someone made a stupid error*Slow computers and monitors that are from the early 2000's*Below average salary","*Pay your software developers what the market demands. Also, give them technology that will allow them to not have to sit at their computer as it locks up or have to manage multitasking on very old monitors. I have heard too many stories about other employees leaving in droves because of this. I'm not far behind.*While I'm at it, allow employees to work from home. My personal setup is light-years better (18 years to be exact and much more screen-space) better than what the company supplies. I shouldn't have to give a warning about working from home and have it approved by personnel services.*Stop it with the deadlines. It seems as though if a deadline isn't met (for something that doesn't even influence the functionality of the company software), the entire company is going to crumble.*Eliminate the emails that shame you if you clock out just one minute shy of an 8-hour day. It gets annoying and creates an unnecessary distraction for the employee, his/her manager, and personnel services (HR).*This all adds up to a very stressful and hostile workplace. It's too bad that the company is so far behind the 8-ball that they cannot really afford to change the salary structure and upgrade technology. They want to hire on a ton more people very soon, but reality is going to set in very soon."
"609","Open Access Technology International","2018-02-20","""Horrible""","Current Employee - Software Engineer","Minneapolis, MN","Doesn't Recommend","Neutral Outlook","Disapproves of CEO","I have been working at Open Access Technology International full-time (More than a year)","There was no pros sry","Micromanagement, Time restriction, Useless their own framework",""
"610","Open Access Technology International","2018-02-12","""Stay Away from OATI""","Former Employee - Software Developer","Minneapolis, MN","Doesn't Recommend","Negative Outlook","Disapproves of CEO","I worked at Open Access Technology International full-time (More than 3 years)","Software Developers, Integrators and PM’s are below industry average. Minimum effort to look smart and gain recognition.","1) PM’s are hired right out of school. The most succesfful PM’s at OATI wont last minutes in a global organization. PM’s effectively work as administrative assistants.. forward emails and meeting minutes. They will claim they manage issues.. in reality they transfer the issues to development/Integration.2) Warning !!!!! There is rampant and blatant nepotism in the organization.3) The Integration group is another group mostly consisting on people with poor skills. Most of them will never find a job anywhere else.3) Software development is about average, but very over worked. Pay them more and get PM’s out of the software group instead of appointing lawyers.","If you have directors/ executives who have been in organization for more than 10 years and have not brought in $1 million dollars of cost savings through quality or new business opportunity.. kick them out. They are leeches looking for a place to retire."
"611","McDonald's","2018-04-16","""its alright, not best but not worst""","Current Employee - Anonymous Employee","","NA","NA","NA","I have been working at McDonald's part-time (Less than a year)","flexible hours. room for management postion","rude customers . not good pay",""
"612","McDonald's","2018-04-16","""Easy job for the summer""","Former Employee - Crew Member","Cliffwood Beach, NJ","Neutral Outlook","No opinion of CEO","NA","I worked at McDonald's part-time (Less than a year)","Not terribly difficultHad fun with coworkers","Pay wasn't greatHad to clean after some gross messes",""
"613","McDonald's","2018-04-16","""Register""","Current Employee - Anonymous Employee","","Recommends","Neutral Outlook","NA","I have been working at McDonald's part-time","Enjoy meeting all kinds of people","Meeting customers who are horrible",""
"614","McDonald's","2018-04-16","""Good beginning job""","Former Employee - Anonymous Employee","","NA","NA","NA","I worked at McDonald's part-time","Good job to start off in high school","service industry so things can get hairy","keep up the good work"
"615","McDonald's","2018-04-16","""At first it was good, but now I dont know anymore.""","Current Employee - Mcdonalds Crew Member","Pella, IA","Recommends","Neutral Outlook","No opinion of CEO","I have been working at McDonald's part-time (More than 3 years)","I like working here to pay the bills. Meeting new people. Getting along with my colleagues. Just trying to my keep of things.","Working to many hours. Can't get time to myself and more or get appointments scheduled because I am working so much.","Please lessen my hours."
"616","McDonald's","2018-04-16","""cashier""","Current Employee - McDonalds Cashier","McDonough, GA","Doesn't Recommend","Neutral Outlook","Disapproves of CEO","I have been working at McDonald's part-time (More than a year)","Best reason towards working at this current fast food restaurant is to obtain currency and also patience","Cons of working at this fast food restaurant are having to deal with the disrespect of customers and also other co workers","Needs a better schduling plan"
"617","McDonald's","2018-04-16","""Great benefits""","Former Employee - Anonymous Employee","","Recommends","Positive Outlook","NA","I worked at McDonald's full-time","Flexible working hoursGreat employee discounts","Long shiftsNonstop and busy shifts",""
"618","McDonald's","2018-04-16","""Great""","Former Employee - Anonymous Employee","","NA","NA","NA","","good company to work for","training could be a bit better","spend more time with staff"
"619","McDonald's","2018-04-16","""Nice staff, good friends but poor pay""","Former Employee - Server/Waiter","London, England (UK)","Doesn't Recommend","Neutral Outlook","No opinion of CEO","I worked at McDonald's full-time (Less than a year)","friendly people and free food","poor pay and little incentives","give progression opportunities to workers"
"620","McDonald's","2018-04-16","""Good experience""","Current Employee - Anonymous Employee","","NA","NA","NA","I have been working at McDonald's part-time","- Training- Discounts- People; life long friends- Experience","- Rude customers- Not enough hours- Salary",""
"621","Regis Corporation","2018-04-11","""Employee""","Current Employee - Anonymous Employee","","NA","NA","NA","I have been working at Regis Corporation part-time","OK work schedule. Very flexible","The pay could be higher and need more stylist for the demand",""
"622","Regis Corporation","2018-04-10","""Tough technology environment to work in""","Former Employee - Anonymous Employee","","Doesn't Recommend","Negative Outlook","No opinion of CEO","I worked at Regis Corporation full-time","Team members were great and dedicated.","Management has a constant need to do more with less. Lots of pressure to reduce, and minimal investment to standardize or simplify.","Invest in technology that simplifies the environment and deploy to ALL locations."
"623","Regis Corporation","2018-04-07","""Soul killing""","Former Employee - Anonymous Employee","Dallas, TX","Doesn't Recommend","Positive Outlook","Disapproves of CEO","I worked at Regis Corporation full-time (More than 5 years)","Build and jump ship, this was a beautiful company too work for,but they got greedy.","Top manangment get huge salaries move huge blocks of stock around no wonder they like minimum wage goal","Go back to 1987 commissions and attiuded towards your employees."
"624","Regis Corporation","2018-04-02","""Soul destroying- not worth it!""","Former Employee - Beauty Therapist","","Doesn't Recommend","Negative Outlook","NA","I worked at Regis Corporation full-time (More than a year)","• Easy to progress up the ladder with lots of in-house promotions available• Some good training opportunities","• No integrity as a company• Minimum wage with unachievable bonuses• Awful payroll system resulting in incorrect pay• Loopholes in the contract including not receiving commissions• Poor communication between departments• Often lone working and doing long hours without management• Extremely high turnover of staff and too few staff• Expected to cover stores 30 miles away with 24hrs notice","Value your staff."
"625","Regis Corporation","2018-03-15","""Great Company""","Former Employee - Hair Stylist","Prescott, AZ","Recommends","Positive Outlook","No opinion of CEO","I worked at Regis Corporation full-time (More than a year)","I enjoyed everyone I worked with. The company offers lots of training. Some cool discounts offered to employees.","Late nights working at the Mall with no customers... hard to make commission.","Get with the times and invest in upgrading the shampoo bowl area. Get more updated style books for clients."
"626","Regis Corporation","2018-03-06","""Human Resources""","Current Employee - Human Resources","Minneapolis, MN","Doesn't Recommend","Neutral Outlook","Approves of CEO","I have been working at Regis Corporation full-time (Less than a year)","Fun industry full of good hard working stylist Fabulous Ops leaders.","Lack of understanding of how salons run in all leaders of depts.Very inexperienced HR leadership.Added hierarchy makes it impossible to bring concerns forward, talk openly, and make improvements. Bunch of Yes Men.","Talk to people and dont worry about your titles . Put your egos aside."
"627","Regis Corporation","2018-03-05","""Former Salon Manager""","Former Employee - Salon Manager","Madison, AL","Doesn't Recommend","Negative Outlook","Disapproves of CEO","I worked at Regis Corporation full-time (More than 5 years)","Some benefits for full time employees after one year of employment. Some opportunity for growth. Vacation available after one year.","The company has been trending downward for awhile now. They have closed 4 salons in our market this year (2018). Upper management is focused on numbers and seem to forget what it is like on the salon level. They removed the educators which is listed as a perk and potential position for growth. The pay is laughable, especially once you grow past management.","Increase pay, work on benefits package. Listen to salon team, and bring back educators."
"628","Regis Corporation","2018-03-05","""Great Place to Start""","Former Employee - Anonymous Employee","Edina, MN","Recommends","Neutral Outlook","Disapproves of CEO","I worked at Regis Corporation full-time (More than 3 years)","Awesome company to start at, although it has changed quite a bit in the past year. Ability to work with others who are passionate and creative","Benefits and pay were poor",""
"629","Regis Corporation","2018-02-20","""Salon Manager""","Current Employee - Anonymous Employee","","NA","NA","NA","I have been working at Regis Corporation full-time","Team environment, decent pay.","Lack of communication from upper management, micromanaging from direct supervisor.","Skip level meetings would ensure that salon staff is properly managed. Work/life balance is a downfall in the management position."
"630","Regis Corporation","2018-02-12","""Horrible""","Former Employee - Anonymous Employee","","Doesn't Recommend","Neutral Outlook","No opinion of CEO","","There are none. Disliked working here. Only worked here because i desperately needed a job.","Working by yourself all the time, management, mall hours, slow, and etc.","Hire people who has a passion for hair. Raise up pay; no one likes getting paid minimum wage."
"631","Delta Air Lines","","""Great work environment, good pay, stable company, excellent benefits""","Former Employee - Associate Software Developer","Atlanta, GA","Recommends","Positive Outlook","Approves of CEO","I worked at Delta Air Lines full-time (More than 3 years)","Flight benefits are the standout benefit for sure. Aside from that, the work in the IT department is project based, so very team oriented with steady, predictable work patterns. Positive environment with good management.","Very hard to stand out in such a large company. Promotions are few and very far between. Commute to the main office can be rough being located on the south side next to the airport",""
"632","Delta Air Lines","2018-04-16","""Amazing company and colleagues""","Current Employee - Anonymous Employee","Detroit, MI","Recommends","Positive Outlook","Approves of CEO","I have been working at Delta Air Lines full-time (More than 5 years)","Great flexibility, good pay, great benefits","Can’t really think of anything",""
"633","Delta Air Lines","2018-04-13","""comparison""","Current Employee - Anonymous Employee","","NA","NA","NA","","Great People. Great pay. Great benefits","location is in Atlanta. Commute.","none"
"634","Delta Air Lines","2018-04-12","""Very basic form of flight company""","Former Employee - Anonymous Employee","","NA","NA","NA","I worked at Delta Air Lines full-time","travel benefits gets you going... but thats anywhere","I don't know where to begin.. might as well check the news on that",""
"635","Delta Air Lines","2018-04-10","""Ramp agent""","Current Employee - Anonymous Employee","Atlanta, GA","NA","NA","NA","I have been working at Delta Air Lines part-time (More than 5 years)","Free flights to anywhere domestically","Schedule can be tough at times","More pay during winter seasons :)"
"636","Delta Air Lines","2018-04-08","""I have a great experience with this company, more pros than cons""","Current Employee - Ramp Agent Seasonal","College Park, GA","Recommends","Positive Outlook","Approves of CEO","I have been working at Delta Air Lines part-time (Less than a year)","Profit sharing companyPick up and give away shiftsRoom for growthRaisesDiscounted international/domestic travel and free standby travelTwo free checked bags when traveling","You can only see your work schedule at your work stationGetting promoted is a challengeThe uniforms during training are paid by potential employee",""
"637","Delta Air Lines","2018-04-07","""No Future""","Current Employee - Customer Service Agent","Milwaukee, WI","Doesn't Recommend","Negative Outlook","No opinion of CEO","I have been working at Delta Air Lines part-time (More than a year)","Delta offers all employees wonderful travel benefits, the people you work with are amazing, and the job itself is fun (most of the time). They will also match 3% of your 401k contribution for RR employees","You will only be hired as a ready reserve and then it will literally take years to get a full time position. I have been with the company for 2 plus years and have applied for over 60 FT positions all over the country and haven’t gotten one face to face interview. As a ready reserve (RR) you do not get raises after your first year, you receive no medical or dental insurance, and no paid benefit time such as sick, vacation, or holiday. You are mandated to work no more than 1400 hours a year on a fixed schedule, which changes every 6 months. My station mandates that all RR agents work that 1400 hours a year so finding a FT job to work around the twice a year changing schedule is nearly impossible. Also, if flights are delayed and you work an afternoon shift, you are mandated to stay (sometimes many many hours) until your delayed flight takes off. This will interfere with any secondary job or obligations you have outside of your part time job with Delta. Delayed flights happen daily so YES, it will definitely happen to you and repeatedly. I have seen FT positions be filled in a way which is not accordIng to policy or seniority. The culture and values that the company says they have are often quite different than what I see happening at my station with management. My station has a high management turnover. In my short 2.5 years of being there, there is not one general manager, nor operating service manager, that was there when I started. Our current management seems to change the rules every 3 months to suit their needs. No consistency in enforcing rules/policies makes for disgruntled employees. I truly am beginning to feel that with Delta it is who you know, not what you know that will get you further.",""
"638","Delta Air Lines","2018-04-05","""BDM""","Current Employee - Anonymous Employee","Salt Lake City, UT","Recommends","Positive Outlook","Approves of CEO","I have been working at Delta Air Lines full-time (More than 5 years)","Greatest place in the world to work!","None that I'm aware of or experienced.","None"
"639","Delta Air Lines","2018-04-03","""Supply Attendant""","Current Employee - Supply Attendant","Phoenix, AZ","Recommends","Positive Outlook","Approves of CEO","I have been working at Delta Air Lines full-time (Less than a year)","it job, an which fit my career field, so can of great help to company.","when you know what your doing it take less time, and training.","Love the position,and love my job."
"640","Delta Air Lines","2018-04-01","""It's an awesome job""","Current Employee - Customer Service Representative","New York, NY","Recommends","Neutral Outlook","Approves of CEO","I have been working at Delta Air Lines full-time (Less than a year)","I love my job. I get to meet knew people every day.","It can be a hassle sometimes.","Keep up the great work"
"641","State of Minnesota","2018-03-22","""Work is meaningful, but can be boring""","Current Employee - Research Assistant","Saint Paul, MN","Doesn't Recommend","Neutral Outlook","Approves of CEO","I have been working at State of Minnesota full-time (More than a year)","- Knowledgeable co-workers- Work on short and long term projects- Management welcome to feedback","- tasks can be repetitive- low pay","Assign more challenging or creative tasks."
"642","State of Minnesota","2018-03-18","""Great employer""","Current Employee - Anonymous Employee","","Recommends","Positive Outlook","Approves of CEO","I have been working at State of Minnesota full-time","Good environment and excellent workplace morale","Lower than industry standard pay","Keep being wonderful!"
"643","State of Minnesota","2018-03-07","""Admin Specialist""","Current Employee - Office and Administrative Specialist","","Doesn't Recommend","Negative Outlook","No opinion of CEO","I have been working at State of Minnesota full-time (More than 3 years)","Great Health Care, sick time","Management doesn't care about low level employees well being",""
"644","State of Minnesota","2018-02-19","""Court clerk""","Former Employee - Anonymous Employee","","NA","NA","NA","I worked at State of Minnesota full-time","Benefits and time off were ok","Inconsistent treatment of the employees",""
"645","State of Minnesota","2018-01-28","""Cheap Healthcare. Benefits dependent""","Current Employee - Anonymous Employee","","Recommends","Positive Outlook","NA","I have been working at State of Minnesota full-time","Pension benefits are amazing ONLY IF you're bad at saving like most Americans, and you plan on working in government for more than 5 years. Being able to contribute to a 437b and 401k is great, but the match is horrendous. Healthcare is more comprehensive and cheaper than most places.People that work for the government are generally good people.","Depending on where you're at, facilities can be exactly what you'd picture a government building to be like.",""
"646","State of Minnesota","2018-01-17","""Just OK""","Current Employee - Anonymous Employee","","Doesn't Recommend","NA","NA","I have been working at State of Minnesota full-time","Benefits are good to be at.Salary is a step increase","Too much of backstabbing to continue",""
"647","State of Minnesota","2017-12-27","""What you'd Expect""","Current Employee - State Program Administrator","Saint Paul, MN","Recommends","Positive Outlook","Approves of CEO","I have been working at State of Minnesota full-time (More than 3 years)","Great benefits, competitive salary and top notch retirement","Salaries aren't as high as private sector but excellent benefits and retirement make up for it!",""
"648","State of Minnesota","2017-12-14","""Weak management""","Current Employee - MNIT","Saint Paul, MN","Doesn't Recommend","NA","NA","I have been working at State of Minnesota full-time (More than 10 years)","40 hours a week. Good benefits. Some great people. Supporting great missions. serving the people.","So many cons. Of course no place is perfect, but the toxic environments, poor management, lack of accountability and much more make this a very difficult place to work. I see staff being promoted that are ignorant, rude bullies, but they know the right people and are friends with managers, so promotions they get. This is ridiculous. The back stabbing and lack of welcoming new people is absurd. Unprofessional behavior is rampant and accepted.","Stop promoting people into management positions because they know a system or have been there a long time. This is true for promoting people in general, just because you like someone does not mean they should be promoted."
"649","State of Minnesota","2017-12-05","""Good Place to Work""","Current Employee - Anonymous Employee","","Recommends","Positive Outlook","No opinion of CEO","I have been working at State of Minnesota full-time","Great insurance, good other benefits, lots of room to move in positions, seniority if it works in your favor","Lower pay than private companies, seniority can make it difficult to move up positions.","Communicate with lower level staff more"
"650","State of Minnesota","2017-12-04","""Analyst""","Former Employee - Anonymous Employee","","Doesn't Recommend","Neutral Outlook","Approves of CEO","I worked at State of Minnesota full-time","Pension and healthcare benefits there are a few people there that care about the work they do and are easy to work with.","Technical skill doesn’t matter, all that matters is who you’re connected to. It’s a very political environment.","Work with people that aren’t producing and just waiting to retire. Give them a reasonable plan to be better at their jobs and if they don’t succeed you will have the documentation to terminate their employment. Stop relying on political affiliations to promote and retain employees."
